Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,TempAnomaly_C,CO2_ppm_mean,merra2_TOTEXTTAU
21,'076,Brazil,27,'0113,Rice,5412,Yield,2024,2024,kg/ha,6728.1,A,,1.2858333333333334,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2003,2003,kg/ha,3067.1,A,,0.6166666666666667,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2004,2004,kg/ha,3285.3,A,,0.5333333333333333,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2005,2005,kg/ha,2903.7,A,,0.6791666666666667,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2006,2006,kg/ha,3223.9,A,,0.64,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2007,2007,kg/ha,3650.7,A,,0.6649999999999999,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2008,2008,kg/ha,3742.8,A,,0.5433333333333333,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2009,2009,kg/ha,3567.4,A,,0.6566666666666666,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2010,2010,kg/ha,3553.7,A,,0.725,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2011,2011,kg/ha,3608.7,A,,0.61,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2012,2012,kg/ha,3595.8,A,,0.6458333333333334,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2013,2013,kg/ha,3620.9,A,,0.6766666666666666,,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2014,2014,kg/ha,3751.3,A,,0.7491666666666666,,0.114157657449444
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2015,2015,kg/ha,3879.6,A,,0.8975,398.4673990589333,0.1211577989161014
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2016,2016,kg/ha,3477.4,A,,1.0125,401.61673783199166,0.1136398104329903
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2017,2017,kg/ha,4141.1,A,,0.9141666666666668,403.89858763665,0.116413814947009
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2018,2018,kg/ha,4309.6,A,,0.85,406.188272178925,0.1185880284756421
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2019,2019,kg/ha,4236.4,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2020,2020,kg/ha,4329.3,A,,1.0075,411.25547557044166,0.1222023976345856
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2021,2021,kg/ha,4170.9,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2022,2022,kg/ha,3840.1,A,,0.8908333333333333,415.9950840959,0.1193391730388005
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2023,2023,kg/ha,4385.5,A,,1.1708333333333334,,0.1238466358433166
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2024,2024,kg/ha,4282.5,A,,1.2858333333333334,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2003,2003,kg/ha,2403.5,A,,0.6166666666666667,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2004,2004,kg/ha,2072.8,A,,0.5333333333333333,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2005,2005,kg/ha,1973.5,A,,0.6791666666666667,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2006,2006,kg/ha,1592.7,A,,0.64,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2007,2007,kg/ha,2219.9,A,,0.6649999999999999,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2008,2008,kg/ha,2549.7,A,,0.5433333333333333,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2009,2009,kg/ha,2080.2,A,,0.6566666666666666,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2010,2010,kg/ha,2828.8,A,,0.725,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2011,2011,kg/ha,2660.2,A,,0.61,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2012,2012,kg/ha,2310.0,A,,0.6458333333333334,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2013,2013,kg/ha,2749.1,A,,0.6766666666666666,,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2014,2014,kg/ha,2208.8,A,,0.7491666666666666,,0.114157657449444
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2015,2015,kg/ha,2227.8,A,,0.8975,398.4673990589333,0.1211577989161014
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2016,2016,kg/ha,3155.1,A,,1.0125,401.61673783199166,0.1136398104329903
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2017,2017,kg/ha,2279.0,A,,0.9141666666666668,403.89858763665,0.116413814947009
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2018,2018,kg/ha,2629.2,A,,0.85,406.188272178925,0.1185880284756421
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2019,2019,kg/ha,2657.8,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2020,2020,kg/ha,2607.9,A,,1.0075,411.25547557044166,0.1222023976345856
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2021,2021,kg/ha,2862.1,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2022,2022,kg/ha,3265.8,A,,0.8908333333333333,415.9950840959,0.1193391730388005
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2023,2023,kg/ha,2321.2,A,,1.1708333333333334,,0.1238466358433166
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2024,2024,kg/ha,2612.7,A,,1.2858333333333334,,
100,'356,India,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,3092.6,A,,0.6166666666666667,,
100,'356,India,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,2952.7,A,,0.5333333333333333,,
100,'356,India,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,3119.6,A,,0.6791666666666667,,
100,'356,India,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,3199.5,A,,0.64,,
100,'356,India,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,3292.5,A,,0.6649999999999999,,
100,'356,India,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,3279.7,A,,0.5433333333333333,,
100,'356,India,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,3194.1,A,,0.6566666666666666,,
100,'356,India,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,3323.0,A,,0.725,,
100,'356,India,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,3606.0,A,,0.61,,
100,'356,India,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,3677.4,A,,0.6458333333333334,,
100,'356,India,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,3616.5,A,,0.6766666666666666,,
100,'356,India,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,3590.0,A,,0.7491666666666666,,0.114157657449444
100,'356,India,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,3601.8,A,,0.8975,398.4673990589333,0.1211577989161014
100,'356,India,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,3752.6,A,,1.0125,401.61673783199166,0.1136398104329903
100,'356,India,27,'0113,Rice,5412,Yield,2017,2017,kg/ha,3811.7,A,,0.9141666666666668,403.89858763665,0.116413814947009
100,'356,India,27,'0113,Rice,5412,Yield,2018,2018,kg/ha,3976.1,A,,0.85,406.188272178925,0.1185880284756421
100,'356,India,27,'0113,Rice,5412,Yield,2019,2019,kg/ha,4052.1,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
100,'356,India,27,'0113,Rice,5412,Yield,2020,2020,kg/ha,4059.4,A,,1.0075,411.25547557044166,0.1222023976345856
100,'356,India,27,'0113,Rice,5412,Yield,2021,2021,kg/ha,4203.3,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
100,'356,India,27,'0113,Rice,5412,Yield,2022,2022,kg/ha,4238.8,A,,0.8908333333333333,415.9950840959,0.1193391730388005
100,'356,India,27,'0113,Rice,5412,Yield,2023,2023,kg/ha,4313.5,A,,1.1708333333333334,,0.1238466358433166
100,'356,India,27,'0113,Rice,5412,Yield,2024,2024,kg/ha,4313.2,A,,1.2858333333333334,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2003,2003,kg/ha,960.0,A,,0.6166666666666667,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2004,2004,kg/ha,993.3,A,,0.5333333333333333,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2005,2005,kg/ha,1132.6,A,,0.6791666666666667,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2006,2006,kg/ha,1315.1,A,,0.64,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2007,2007,kg/ha,1461.3,A,,0.6649999999999999,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2008,2008,kg/ha,1257.6,A,,0.5433333333333333,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2009,2009,kg/ha,1237.7,A,,0.6566666666666666,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2010,2010,kg/ha,1594.0,A,,0.725,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2011,2011,kg/ha,1574.8,A,,0.61,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2012,2012,kg/ha,1517.4,A,,0.6458333333333334,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2013,2013,kg/ha,1617.9,A,,0.6766666666666666,,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2014,2014,kg/ha,1413.1,A,,0.7491666666666666,,0.114157657449444
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2015,2015,kg/ha,1343.1,A,,0.8975,398.4673990589333,0.1211577989161014
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2016,2016,kg/ha,1598.2,A,,1.0125,401.61673783199166,0.1136398104329903
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2017,2017,kg/ha,1401.9,A,,0.9141666666666668,403.89858763665,0.116413814947009
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2018,2018,kg/ha,1164.5,A,,0.85,406.188272178925,0.1185880284756421
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2019,2019,kg/ha,1471.2,E,,0.9791666666666666,408.7287743181666,0.1213295230021079
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2020,2020,kg/ha,1315.7,E,,1.0075,411.25547557044166,0.1222023976345856
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2021,2021,kg/ha,1294.9,E,,0.8466666666666667,413.5957462786583,0.1217477805912494
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2022,2022,kg/ha,1160.4,E,,0.8908333333333333,415.9950840959,0.1193391730388005
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2023,2023,kg/ha,1292.6,E,,1.1708333333333334,,0.1238466358433166
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2024,2024,kg/ha,1310.4,E,,1.2858333333333334,,
100,'356,India,15,'0111,Wheat,5412,Yield,2003,2003,kg/ha,2610.0,A,,0.6166666666666667,,
100,'356,India,15,'0111,Wheat,5412,Yield,2004,2004,kg/ha,2713.2,A,,0.5333333333333333,,
100,'356,India,15,'0111,Wheat,5412,Yield,2005,2005,kg/ha,2601.6,A,,0.6791666666666667,,
100,'356,India,15,'0111,Wheat,5412,Yield,2006,2006,kg/ha,2618.8,A,,0.64,,
100,'356,India,15,'0111,Wheat,5412,Yield,2007,2007,kg/ha,2707.9,A,,0.6649999999999999,,
100,'356,India,15,'0111,Wheat,5412,Yield,2008,2008,kg/ha,2802.2,A,,0.5433333333333333,,
100,'356,India,15,'0111,Wheat,5412,Yield,2009,2009,kg/ha,2907.1,A,,0.6566666666666666,,
100,'356,India,15,'0111,Wheat,5412,Yield,2010,2010,kg/ha,2839.5,A,,0.725,,
100,'356,India,15,'0111,Wheat,5412,Yield,2011,2011,kg/ha,2988.6,A,,0.61,,
100,'356,India,15,'0111,Wheat,5412,Yield,2012,2012,kg/ha,3177.5,A,,0.6458333333333334,,
100,'356,India,15,'0111,Wheat,5412,Yield,2013,2013,kg/ha,3153.8,A,,0.6766666666666666,,
100,'356,India,15,'0111,Wheat,5412,Yield,2014,2014,kg/ha,3145.7,A,,0.7491666666666666,,0.114157657449444
100,'356,India,15,'0111,Wheat,5412,Yield,2015,2015,kg/ha,2749.6,A,,0.8975,398.4673990589333,0.1211577989161014
100,'356,India,15,'0111,Wheat,5412,Yield,2016,2016,kg/ha,3033.9,A,,1.0125,401.61673783199166,0.1136398104329903
100,'356,India,15,'0111,Wheat,5412,Yield,2017,2017,kg/ha,3199.9,A,,0.9141666666666668,403.89858763665,0.116413814947009
100,'356,India,15,'0111,Wheat,5412,Yield,2018,2018,kg/ha,3368.2,A,,0.85,406.188272178925,0.1185880284756421
100,'356,India,15,'0111,Wheat,5412,Yield,2019,2019,kg/ha,3533.4,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
100,'356,India,15,'0111,Wheat,5412,Yield,2020,2020,kg/ha,3439.8,A,,1.0075,411.25547557044166,0.1222023976345856
100,'356,India,15,'0111,Wheat,5412,Yield,2021,2021,kg/ha,3520.8,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
100,'356,India,15,'0111,Wheat,5412,Yield,2022,2022,kg/ha,3537.3,A,,0.8908333333333333,415.9950840959,0.1193391730388005
100,'356,India,15,'0111,Wheat,5412,Yield,2023,2023,kg/ha,3520.7,A,,1.1708333333333334,,0.1238466358433166
100,'356,India,15,'0111,Wheat,5412,Yield,2024,2024,kg/ha,3559.0,A,,1.2858333333333334,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,2955.1,A,,0.6166666666666667,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,2991.4,A,,0.5333333333333333,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,3174.2,A,,0.6791666666666667,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,3160.4,A,,0.64,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,3317.6,A,,0.6649999999999999,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,3519.9,A,,0.5433333333333333,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,3580.9,A,,0.6566666666666666,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,3058.8,A,,0.725,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,3593.9,A,,0.61,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,3596.6,A,,0.6458333333333334,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,3752.8,A,,0.6766666666666666,,
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,3633.9,A,,0.7491666666666666,,0.114157657449444
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,3724.0,A,,0.8975,398.4673990589333,0.1211577989161014
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,3771.6,A,,1.0125,401.61673783199166,0.1136398104329903
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2017,2017,kg/ha,3852.6,A,,0.9141666666666668,403.89858763665,0.116413814947009
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2018,2018,kg/ha,3842.7,A,,0.85,406.188272178925,0.1185880284756421
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2019,2019,kg/ha,3665.3,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2020,2020,kg/ha,3786.3,A,,1.0075,411.25547557044166,0.1222023976345856
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2021,2021,kg/ha,3953.2,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2022,2022,kg/ha,3690.3,A,,0.8908333333333333,415.9950840959,0.1193391730388005
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2023,2023,kg/ha,4066.2,A,,1.1708333333333334,,0.1238466358433166
165,'586,Pakistan,27,'0113,Rice,5412,Yield,2024,2024,kg/ha,3740.6,A,,1.2858333333333334,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2003,2003,kg/ha,1715.2,A,,0.6166666666666667,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2004,2004,kg/ha,2280.1,A,,0.5333333333333333,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2005,2005,kg/ha,2042.4,A,,0.6791666666666667,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2006,2006,kg/ha,2033.3,A,,0.64,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2007,2007,kg/ha,1858.7,A,,0.6649999999999999,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2008,2008,kg/ha,2046.2,A,,0.5433333333333333,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2009,2009,kg/ha,2039.5,A,,0.6566666666666666,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2010,2010,kg/ha,2087.5,A,,0.725,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2011,2011,kg/ha,2330.3,A,,0.61,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2012,2012,kg/ha,2211.4,A,,0.6458333333333334,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2013,2013,kg/ha,2272.4,A,,0.6766666666666666,,
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2014,2014,kg/ha,2302.1,A,,0.7491666666666666,,0.114157657449444
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2015,2015,kg/ha,1678.8,A,,0.8975,398.4673990589333,0.1211577989161014
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2016,2016,kg/ha,2104.2,A,,1.0125,401.61673783199166,0.1136398104329903
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2017,2017,kg/ha,2168.3,A,,0.9141666666666668,403.89858763665,0.116413814947009
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2018,2018,kg/ha,2034.8,A,,0.85,406.188272178925,0.1185880284756421
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2019,2019,kg/ha,1779.8,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2020,2020,kg/ha,1661.6,A,,1.0075,411.25547557044166,0.1222023976345856
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2021,2021,kg/ha,2114.7,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2022,2022,kg/ha,1124.1,A,,0.8908333333333333,415.9950840959,0.1193391730388005
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2023,2023,kg/ha,2078.2,A,,1.1708333333333334,,0.1238466358433166
165,'586,Pakistan,328,'01921.01,"Seed cotton, unginned",5412,Yield,2024,2024,kg/ha,1713.3,A,,1.2858333333333334,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2003,2003,kg/ha,2387.8,A,,0.6166666666666667,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2004,2004,kg/ha,2373.3,A,,0.5333333333333333,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2005,2005,kg/ha,2585.8,A,,0.6791666666666667,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2006,2006,kg/ha,2518.6,A,,0.64,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2007,2007,kg/ha,2715.6,A,,0.6649999999999999,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2008,2008,kg/ha,2451.4,A,,0.5433333333333333,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2009,2009,kg/ha,2656.8,A,,0.6566666666666666,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2010,2010,kg/ha,2552.8,A,,0.725,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2011,2011,kg/ha,2832.8,A,,0.61,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2012,2012,kg/ha,2713.8,A,,0.6458333333333334,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2013,2013,kg/ha,2795.7,A,,0.6766666666666666,,
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2014,2014,kg/ha,2824.1,A,,0.7491666666666666,,0.114157657449444
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2015,2015,kg/ha,2725.6,A,,0.8975,398.4673990589333,0.1211577989161014
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2016,2016,kg/ha,2779.0,A,,1.0125,401.61673783199166,0.1136398104329903
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2017,2017,kg/ha,2972.9,A,,0.9141666666666668,403.89858763665,0.116413814947009
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2018,2018,kg/ha,2850.5,A,,0.85,406.188272178925,0.1185880284756421
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2019,2019,kg/ha,2805.9,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2020,2020,kg/ha,2867.5,A,,1.0075,411.25547557044166,0.1222023976345856
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2021,2021,kg/ha,2995.6,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2022,2022,kg/ha,2919.6,A,,0.8908333333333333,415.9950840959,0.1193391730388005
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2023,2023,kg/ha,3117.6,A,,1.1708333333333334,,0.1238466358433166
165,'586,Pakistan,15,'0111,Wheat,5412,Yield,2024,2024,kg/ha,3268.3,A,,1.2858333333333334,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,7475.9,A,,0.6166666666666667,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,7832.8,A,,0.5333333333333333,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,7424.5,A,,0.6791666666666667,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,7731.3,A,,0.64,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,8091.7,A,,0.6649999999999999,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,7673.1,A,,0.5433333333333333,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,7941.3,A,,0.6566666666666666,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,7537.5,A,,0.725,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,7920.9,A,,0.61,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,8365.1,A,,0.6458333333333334,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,8623.2,A,,0.6766666666666666,,
231,'840,United States of America,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,8491.9,A,,0.7491666666666666,,0.114157657449444
231,'840,United States of America,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,8372.2,A,,0.8975,398.4673990589333,0.1211577989161014
231,'840,United States of America,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,8112.1,A,,1.0125,401.61673783199166,0.1136398104329903
